iter	Passed	Remaining
318	5805	12393
319	5829	12387
320	5843	12361
321	5859	12338
322	5874	12312
323	5887	12283
324	5904	12262
325	5921	12241
326	5938	12221
327	5955	12200
328	5972	12181
329	5985	12152
330	5998	12123
331	6013	12099
332	6033	12085
333	6046	12057
334	6060	12030
335	6079	12013
336	6099	11999
337	6115	11978
338	6128	11950
339	6150	11938
340	6169	11922
341	6188	11906
342	6202	11880
343	6224	11869
344	6238	11844
345	6254	11822
346	6274	11807
347	6291	11786
348	6305	11762
349	6318	11735
350	6333	11710
351	6354	11698
352	6371	11677
353	6386	11654
354	6400	11629
355	6419	11611
356	6434	11589
357	6454	11575
358	6469	11551
359	6484	11527
360	6501	11508
361	6517	11486
362	6539	11474
363	6556	11455
364	6574	11437
365	6593	11422
366	6616	11411
367	6633	11391
368	6646	11365
369	6658	11336
370	6676	11319
371	6689	11292
372	6703	11267
373	6718	11245
374	6733	11223
375	6753	11207
376	6773	11193
377	6790	11173
378	6808	11155
379	6825	11135
380	6839	11112
381	6856	11092
382	6873	11072
383	6886	11047
384	6904	11028
385	6921	11009
386	6937	10988
387	6953	10967
388	6964	10939
389	6987	10928
390	7005	10911
391	7020	10888
392	7034	10865
393	7046	10838
394	7061	10815
395	7081	10800
396	7094	10776
397	7108	10751
398	7127	10736
399	7142	10714
400	7157	10691
401	7173	10671
402	7192	10655
403	7210	10637
404	7221	10609
405	7240	10593
406	7253	10567
407	7269	10547
408	7286	10528
409	7300	10505
410	7318	10487
411	7334	10468
412	7352	10450
413	7365	10425
414	7381	10404
415	7398	10386
416	7412	10363
417	7428	10343
418	7444	10323
419	7465	10309
420	7479	10287
421	7494	10264
422	7513	10248
423	7530	10230
424	7544	10207
425	7558	10184
426	7588	10183
427	7609	10169
428	7629	10154
429	7648	10138
430	7668	10123
431	7692	10114
432	7712	10099
433	7731	10083
434	7749	10065
435	7767	10047
436	7787	10033
437	7808	10019
438	7825	10000
439	7845	9985
440	7861	9964
441	7873	9939
442	7889	9919
443	7909	9904
444	7927	9887
445	7946	9870
446	7964	9853
447	7986	9840
448	8002	9819
449	8024	9807
450	8052	9801
451	8071	9785
452	8086	9764
453	8109	9752
454	8126	9734
455	8143	9715
456	8155	9690
457	8171	9670
458	8189	9652
459	8202	9628
460	8217	9607
461	8237	9592
462	8253	9572
463	8268	9552
464	8281	9527
465	8302	9513
466	8320	9496
467	8336	9476
468	8351	9455
469	8371	9440
470	8385	9418
471	8400	9397
472	8423	9385
473	8446	9372
474	8459	9350
475	8477	9332
476	8499	9318
477	8514	9298
478	8527	9275
479	8540	9251
480	8564	9241
481	8582	9223
482	8602	9208
483	8616	9186
484	8632	9166
485	8644	9142
486	8656	9118
487	8669	9095
488	8689	9080
489	8707	9063
490	8726	9045
491	8743	9027
492	8762	9011
493	8776	8990
494	8791	8968
495	8807	8949
496	8823	8929
497	8843	8914
498	8862	8897
499	8877	8877
500	8894	8858
501	8910	8839
502	8924	8817
503	8938	8796
504	8957	8780
505	8973	8760
506	8989	8741
507	9005	8721
508	9026	8707
509	9041	8686
510	9055	8665
511	9073	8647
512	9088	8628
513	9106	8610
514	9121	8589
515	9136	8569
516	9156	8554
517	9172	8534
518	9186	8513
519	9201	8493
520	9218	8475
521	9238	8459
522	9251	8437
523	9269	8420
524	9285	8401
525	9302	8382
526	9315	8361
527	9327	8338
528	9349	8324
529	9367	8306
530	9384	8288
531	9398	8267
532	9414	8249
533	9430	8229
534	9444	8208
535	9462	8191
536	9477	8171
537	9489	8149
538	9511	8135
539	9533	8121
540	9557	8108
541	9572	8089
542	9583	8065
543	9597	8045
544	9615	8027
545	9633	8010
546	9651	7992
547	9672	7978
548	9687	7958
549	9703	7939
550	9716	7917
551	9734	7900
552	9752	7883
553	9768	7864
554	9782	7843
555	9804	7829
556	9825	7814
557	9842	7796
558	9859	7778
559	9875	7759
560	9891	7740
561	9910	7723
562	9924	7703
563	9948	7690
564	9966	7673
565	9982	7654
566	9998	7635
567	10017	7618
568	10035	7601
569	10051	7582
570	10074	7569
571	10090	7549
572	10103	7528
573	10118	7509
574	10141	7495
575	10158	7477
576	10175	7459
577	10196	7444
578	10211	7425
579	10228	7406
580	10241	7386
581	10253	7364
582	10274	7349
583	10292	7331
584	10309	7313
585	10323	7293
586	10340	7275
587	10353	7254
588	10366	7233
589	10382	7215
590	10397	7195
591	10414	7177
592	10429	7157
593	10442	7137
594	10462	7121
595	10480	7104
596	10498	7086
597	10525	7075
598	10541	7057
599	10553	7035
600	10567	7015
601	10580	6995
602	10602	6980
603	10617	6960
604	10633	6942
605	10649	6923
606	10668	6907
607	10686	6889
608	10699	6869
609	10710	6847
610	10728	6830
611	10744	6811
612	10759	6792
613	10776	6774
614	10793	6756
615	10810	6739
616	10823	6718
617	10838	6699
618	10857	6682
619	10871	6663
620	10886	6643
621	10904	6626
622	10918	6606
623	10936	6590
624	10951	6570
625	10964	6550
626	10980	6532
627	10999	6515
628	11017	6498
629	11030	6478
630	11047	6460
631	11066	6443
632	11086	6427
633	11102	6409
634	11117	6390
635	11133	6372
636	11146	6352
637	11161	6333
638	11189	6321
639	11207	6304
640	11220	6284
641	11236	6265
642	11252	6247
643	11266	6228
644	11283	6210
645	11294	6189
646	11315	6173
647	11334	6156
648	11348	6137
649	11363	6118
650	11380	6100
651	11395	6082
652	11409	6063
653	11425	6044
654	11448	6029
655	11465	6012
656	11482	5994
657	11504	5979
658	11517	5959
659	11531	5940
660	11545	5921
661	11563	5904
662	11579	5885
663	11596	5868
664	11610	5848
665	11625	5829
666	11645	5813
667	11658	5794
668	11673	5775
669	11689	5757
670	11710	5741
671	11729	5725
672	11744	5706
673	11756	5686
674	11775	5669
675	11791	5651
676	11804	5631
677	11820	5613
678	11837	5596
679	11853	5578
680	11868	5559
681	11879	5539
682	11903	5524
683	11914	5504
684	11929	5486
685	11950	5469
686	11963	5450
687	11981	5433
688	11994	5414
689	12008	5395
690	12026	5378
691	12043	5360
692	12059	5342
693	12074	5323
694	12093	5307
695	12109	5289
696	12122	5270
697	12137	5251
698	12153	5233
699	12175	5218
700	12189	5199
701	12203	5180
702	12224	5164
703	12241	5147
704	12258	5129
705	12271	5110
706	12289	5093
707	12304	5074
708	12324	5058
709	12346	5043
710	12368	5027
711	12391	5012
712	12403	4992
713	12417	4974
714	12433	4956
715	12447	4937
716	12464	4919
717	12490	4905
718	12507	4888
719	12521	4869
720	12536	4851
721	12558	4835
722	12573	4817
723	12589	4799
724	12605	4781
725	12623	4764
726	12644	4748
727	12659	4729
728	12673	4711
729	12690	4693
730	12703	4674
731	12715	4655
732	12730	4637
733	12749	4620
734	12766	4602
735	12781	4584
736	12797	4566
737	12813	4548
738	12830	4531
739	12843	4512
740	12856	4493
741	12878	4478
742	12896	4460
743	12912	4442
744	12924	4423
745	12948	4408
746	12967	4392
747	12983	4374
748	13004	4357
749	13021	4340
750	13035	4322
751	13051	4304
752	13069	4286
753	13093	4271
754	13110	4254
755	13124	4235
756	13140	4218
757	13156	4200
758	13174	4183
759	13192	4165
760	13222	4152
761	13242	4136
762	13262	4119
763	13278	4101
764	13296	4084
765	13312	4066
766	13327	4048
767	13347	4032
768	13374	4017
769	13397	4001
770	13413	3983
771	13436	3968
772	13458	3952
773	13482	3936
774	13502	3920
775	13519	3902
776	13542	3886
777	13560	3869
778	13578	3852
779	13602	3836
780	13620	3819
781	13633	3800
782	13648	3782
783	13671	3766
784	13689	3749
785	13708	3732
786	13727	3715
787	13748	3698
788	13770	3682
789	13784	3664
790	13800	3646
791	13822	3630
792	13837	3612
793	13853	3594
794	13874	3577
795	13890	3559
796	13904	3541
797	13922	3524
798	13940	3506
799	13961	3490
800	13976	3472
801	13992	3454
802	14007	3436
803	14025	3419
804	14037	3400
805	14053	3382
806	14068	3364
807	14085	3346
808	14100	3329
809	14114	3310
810	14133	3293
811	14149	3276
812	14162	3257
813	14176	3239
814	14193	3221
815	14210	3204
816	14226	3186
817	14239	3168
818	14258	3151
819	14272	3133
820	14286	3114
821	14301	3096
822	14320	3079
823	14340	3063
824	14357	3045
825	14379	3029
826	14396	3011
827	14411	2993
828	14425	2975
829	14446	2958
830	14463	2941
831	14481	2924
832	14493	2905
833	14509	2887
834	14527	2870
835	14546	2853
836	14560	2835
837	14581	2818
838	14594	2800
839	14614	2783
840	14629	2765
841	14643	2747
842	14662	2730
843	14677	2712
844	14691	2694
845	14709	2677
846	14729	2660
847	14746	2643
848	14761	2625
849	14782	2608
850	14795	2590
851	14810	2572
852	14825	2554
853	14838	2536
854	14856	2519
855	14874	2502
856	14888	2484
857	14900	2465
858	14921	2449
859	14938	2431
860	14952	2413
861	14965	2395
862	14988	2379
863	15003	2361
864	15022	2344
865	15043	2327
866	15059	2310
867	15072	2292
868	15089	2274
869	15104	2257
870	15120	2239
871	15136	2221
872	15149	2203
873	15170	2187
874	15184	2169
875	15198	2151
876	15214	2133
877	15225	2115
878	15248	2099
879	15265	2081
880	15279	2063
881	15295	2046
882	15312	2028
883	15329	2011
884	15341	1993
885	15354	1975
886	15376	1958
887	15399	1942
888	15416	1924
889	15442	1908
890	15461	1891
891	15478	1874
892	15496	1856
893	15510	1839
894	15528	1821
895	15541	1803
896	15556	1786
897	15577	1769
898	15592	1751
899	15606	1734
900	15618	1716
901	15639	1699
902	15658	1682
903	15679	1665
904	15698	1647
905	15715	1630
906	15730	1612
907	15742	1595
908	15761	1577
909	15779	1560
910	15793	1542
911	15811	1525
912	15830	1508
913	15847	1491
914	15861	1473
915	15879	1456
916	15911	1440
917	15948	1424
918	15984	1408
919	16003	1391
920	16020	1374
921	16042	1357
922	16066	1340
923	16084	1322
924	16107	1306
925	16125	1288
926	16140	1271
927	16157	1253
928	16179	1236
929	16195	1219
930	16217	1201
931	16247	1185
932	16266	1168
933	16292	1151
934	16315	1134
935	16334	1116
936	16353	1099
937	16372	1082
938	16395	1065
939	16415	1047
940	16433	1030
941	16452	1012
942	16467	995
943	16485	977
944	16503	960
945	16515	942
946	16529	925
947	16546	907
948	16569	890
949	16596	873
950	16628	856
951	16655	839
952	16677	822
953	16702	805
954	16722	787
955	16746	770
956	16766	753
957	16781	735
958	16795	718
959	16817	700
960	16836	683
961	16854	665
962	16873	648
963	16899	631
964	16915	613
965	16934	596
966	16954	578
967	16979	561
968	16999	543
969	17018	526
970	17038	508
971	17060	491
972	17078	473
973	17100	456
974	17124	439
975	17146	421
976	17164	404
977	17176	386
978	17194	368
979	17216	351
980	17237	333
981	17265	316
982	17293	299
983	17309	281
984	17327	263
985	17345	246
986	17376	228
987	17394	211
988	17413	193
989	17428	176
990	17442	158
991	17458	140
992	17481	123
993	17503	105
994	17520	88
995	17536	70
996	17550	52
997	17566	35
998	17580	17
999	17597	0
