iter	Logloss
126	0.1528578186
127	0.1527421443
128	0.1526036199
129	0.1524981689
130	0.1524318186
131	0.1523517481
132	0.1522958501
133	0.1522027969
134	0.1521219508
135	0.1519797134
136	0.1519191996
137	0.1519192123
138	0.1518373362
139	0.1517649841
140	0.1516887156
141	0.1515553157
142	0.1514330928
143	0.1513281377
144	0.1512236786
145	0.1511131795
146	0.1510660172
147	0.1509779612
148	0.1509101105
149	0.1508199437
150	0.1507506561
151	0.1506846364
152	0.1506057103
153	0.1504985174
154	0.1504141998
155	0.1503750865
156	0.1503022639
157	0.150235939
158	0.1501946131
159	0.1501326116
160	0.1500361633
161	0.1499145126
162	0.1498651377
163	0.1497988002
164	0.1497457123
165	0.1496674093
166	0.149598821
167	0.1494905345
168	0.149421196
169	0.1493479919
170	0.1493310801
171	0.1492612712
172	0.1491544724
173	0.1490845617
174	0.1490059408
175	0.1489303843
176	0.1488549678
177	0.1487373098
178	0.1486840566
179	0.14862058
180	0.1485276286
181	0.1484491221
182	0.1483521271
183	0.1482584381
184	0.1481842168
185	0.1480856069
186	0.1479939016
187	0.1479294586
188	0.1478658803
189	0.1477931976
190	0.1477108765
191	0.147649409
192	0.1475844065
193	0.1474964015
194	0.1474340566
195	0.1473730723
196	0.1473725764
197	0.1472708257
198	0.1471881358
199	0.1470753733
200	0.1469936244
201	0.1469225057
202	0.1468639119
203	0.1468186061
204	0.146764679
205	0.1466571808
206	0.1466475296
207	0.1465423075
208	0.1464787038
209	0.146410141
210	0.1463421377
211	0.1462409465
212	0.146169192
213	0.1461092504
214	0.1460547384
215	0.1459499359
216	0.1458938853
217	0.1458526357
218	0.1458448283
219	0.1457639186
220	0.1457079188
221	0.1456802114
222	0.1456046041
223	0.1455414836
224	0.145475235
225	0.1454202525
226	0.1452954737
227	0.1452114487
228	0.1451224645
229	0.1450340907
230	0.1449586105
231	0.1449034119
232	0.1448471069
233	0.1448010635
234	0.1447108714
235	0.1446832148
236	0.1446115875
237	0.1445487976
238	0.1445141347
239	0.1443986893
240	0.1443188731
241	0.1442520142
242	0.1441807175
243	0.1441104126
244	0.144076856
245	0.1440346781
246	0.1439835866
247	0.1439342626
248	0.1438969803
249	0.1438649623
250	0.1437460073
251	0.1436897024
252	0.1436196518
253	0.1434780884
254	0.1434200795
255	0.1433521271
256	0.1432714081
257	0.1431845474
258	0.143150622
259	0.1431163788
260	0.143028717
261	0.1430249023
262	0.1429791133
263	0.1429210409
264	0.1428508377
265	0.1428044383
266	0.1427436829
267	0.1426718903
268	0.1425627899
269	0.1424650574
270	0.1424084091
271	0.1423180898
272	0.1422388585
273	0.1421747589
274	0.1421488825
275	0.1421184667
276	0.1420685069
277	0.1420420456
278	0.1419820658
279	0.1418865967
280	0.1418578593
281	0.1418045934
282	0.1417219289
283	0.1416878255
284	0.1416435496
285	0.1415813955
286	0.1414938482
287	0.1414633306
288	0.1414126333
289	0.1413304138
290	0.1413303884
291	0.1412632624
292	0.1412544378
293	0.1412287649
294	0.1411633174
295	0.1411320241
296	0.141094691
297	0.1410337448
298	0.1410127513
299	0.1409475199
300	0.1408952967
301	0.1408037694
302	0.1407588959
303	0.1406802495
304	0.1406227875
305	0.1405613454
306	0.1404854838
307	0.1404309591
308	0.1403694153
309	0.1403460439
310	0.1402587891
311	0.140169042
312	0.1401156235
313	0.140043335
314	0.1400141144
315	0.1399229431
316	0.1398673757
317	0.1398119354
318	0.1397047043
319	0.1396597799
320	0.1396237183
321	0.1395755386
322	0.1395286814
323	0.1394616699
324	0.1394286855
325	0.1393576813
326	0.1392539215
327	0.1391981761
328	0.1390914536
329	0.1390308762
330	0.1390011088
331	0.1389499156
332	0.1388745372
333	0.1388021723
334	0.1387335459
335	0.1386983744
336	0.138635114
337	0.1386080297
338	0.138535792
339	0.1384727987
340	0.1383923086
341	0.1383450572
342	0.1382905579
343	0.1382139079
344	0.1381500498
345	0.1380788676
346	0.1380315653
347	0.1379782359
348	0.1379426066
349	0.1378975677
350	0.1378409576
351	0.1377591705
352	0.137705307
353	0.1376609675
354	0.1375891622
355	0.1375372314
356	0.1374414825
357	0.1373826853
358	0.1373308563
359	0.1372699483
360	0.1372111511
361	0.1371497854
362	0.1370610428
363	0.1370172882
364	0.1369619751
365	0.1369263077
366	0.136886762
367	0.1368453089
368	0.1367589188
369	0.1367175547
370	0.1366349284
371	0.1365842946
372	0.1365554682
373	0.1365135829
374	0.1364746094
375	0.1363564936
376	0.1363187154
377	0.1362052536
378	0.1361754735
379	0.1360924149
380	0.1360095978
381	0.1359453964
382	0.1358822886
383	0.1357982763
384	0.1357224019
385	0.1356754049
386	0.1356153997
387	0.1355695343
388	0.1354891968
389	0.1354401016
390	0.1353833516
391	0.1353310394
392	0.1352611287
393	0.135205129
394	0.1351762899
395	0.1350635783
396	0.1350430044
397	0.1349921672
398	0.1349376424
399	0.1348787053
400	0.1348218791
401	0.1347372182
402	0.1346937943
403	0.1346300379
404	0.1345974096
405	0.1345489375
406	0.1344857534
407	0.1344450378
408	0.1343940099
409	0.1343103536
410	0.1342646917
411	0.1342294566
412	0.1342001088
413	0.1341135279
414	0.1340598297
415	0.1340149053
416	0.1339181391
417	0.1338646952
418	0.1338069661
419	0.133754336
420	0.1337053426
421	0.1336379751
422	0.1336031087
423	0.1335345713
424	0.1334456889
425	0.1333629354
426	0.1332843399
427	0.1332008108
428	0.1331209056
429	0.1330831146
430	0.1330182902
431	0.1329494985
432	0.132888387
433	0.1328289159
434	0.1327487946
435	0.1326618576
436	0.1325962702
437	0.1325292587
438	0.1324409485
439	0.1323989105
440	0.1323380788
441	0.1322575378
442	0.1321922811
443	0.1321240234
444	0.1320680745
445	0.1319850413
446	0.1319407908
447	0.1319040171
448	0.1318183645
449	0.1317652512
450	0.1316938782
451	0.1316265233
452	0.1315637461
453	0.1315257009
454	0.1314470673
455	0.1313972855
456	0.1313300832
457	0.1312890371
458	0.1312188212
459	0.1311385473
460	0.1311032613
461	0.1310401154
462	0.1309459432
463	0.1308572133
464	0.1307555135
465	0.1307120514
466	0.1306719589
467	0.1306396484
468	0.1305947749
469	0.1305244446
470	0.1304864756
471	0.1304270935
472	0.1303606923
473	0.1302982076
474	0.130217158
475	0.1301406097
476	0.1300591914
477	0.1300167847
478	0.1299559911
479	0.1299251938
480	0.1298849869
481	0.129800415
482	0.1297446442
483	0.1297063446
484	0.1296422195
485	0.1296126811
486	0.1295725759
487	0.1295542018
488	0.1294927597
489	0.1294345601
490	0.1293975703
491	0.1293067424
492	0.1292743047
493	0.1292392604
494	0.1291953278
495	0.1291322581
496	0.1291054535
497	0.1290905635
498	0.129029007
499	0.1289950434
500	0.1289795049
501	0.1289464951
502	0.128884608
503	0.1288278961
504	0.1287661235
505	0.1287297567
506	0.1286766815
507	0.1286412175
508	0.1285960388
509	0.1285761642
510	0.1285347748
511	0.1285013453
512	0.1284599559
513	0.1283915583
514	0.1283349737
515	0.1282673899
516	0.1281851705
517	0.1281495667
518	0.1280870438
519	0.1280083338
520	0.1279754639
521	0.1279622396
522	0.1279318364
523	0.1278838603
524	0.1278525289
525	0.1277853648
526	0.1277108256
527	0.1276888911
528	0.1276438395
529	0.1276154963
530	0.1275719452
531	0.1274798838
532	0.1274258677
533	0.1273501205
534	0.1273035431
535	0.1272261047
536	0.1271901957
537	0.1271586863
538	0.1270985921
539	0.1270684814
540	0.1270484416
541	0.1269896189
542	0.1269515483
543	0.1268782043
544	0.1268372091
545	0.1267760213
546	0.1267141978
547	0.1266744995
548	0.1266135661
549	0.1266025543
550	0.1265850957
551	0.1265611903
552	0.1265127691
553	0.1264597702
554	0.1264049276
555	0.1263514964
556	0.1262992223
557	0.1262663523
558	0.1261806234
559	0.1261392466
560	0.1260858154
561	0.1260602188
562	0.1260219193
563	0.1259886805
564	0.1259214147
565	0.1258893204
566	0.1258472697
567	0.1257910156
568	0.1257316589
569	0.1256922785
570	0.125636584
571	0.1255797577
572	0.1255128225
573	0.125433375
574	0.1253819529
575	0.1253532664
576	0.125304273
577	0.1252309163
578	0.1251754252
579	0.1251201248
580	0.1250669607
581	0.1250291316
582	0.1249800618
583	0.1249121348
584	0.1248541514
585	0.1248139064
586	0.1247403971
587	0.1246975454
588	0.1246618398
589	0.1246551768
590	0.1246288808
591	0.1246175639
592	0.1245974731
593	0.1245484924
594	0.1244795227
595	0.1244142024
596	0.1243450419
597	0.1242823283
598	0.1242382558
599	0.1241741435
600	0.1241485977
601	0.1240785217
602	0.1240254974
603	0.123959554
604	0.1239006551
605	0.1238081996
606	0.1237621562
607	0.1237132009
608	0.1236860402
609	0.1236252848
610	0.123541743
611	0.1234744517
612	0.1234324137
613	0.1233813222
614	0.1233277893
615	0.1232702637
616	0.1232175446
617	0.1231309764
618	0.123087794
619	0.1230146281
620	0.1229557546
621	0.1229118093
622	0.1228616587
623	0.1228326035
624	0.1227918243
625	0.1227744039
626	0.1227191416
627	0.1226791636
628	0.1226144409
629	0.1225810115
630	0.1225402832
631	0.1224931335
632	0.1224153392
633	0.1223411179
634	0.1222818883
635	0.122270635
636	0.1221966044
637	0.1221225993
638	0.122052002
639	0.1219967524
640	0.1219699097
641	0.1219353485
642	0.1218862279
643	0.1218275452
644	0.121768748
645	0.1217520014
646	0.1217030207
647	0.1216859309
648	0.1216544469
649	0.1216380946
650	0.1215705363
651	0.1215064494
652	0.12144207
653	0.1213923518
654	0.1213349279
655	0.1213020579
656	0.1212512461
657	0.1212189356
658	0.1211949921
659	0.1211382548
660	0.1210906601
661	0.1210325241
662	0.12098526
663	0.1209140523
664	0.120863177
665	0.1208290227
666	0.1207798004
667	0.1207488887
668	0.1207056681
669	0.1206341553
670	0.1205665588
671	0.1205095418
672	0.1204339345
673	0.1203900146
674	0.1203637695
675	0.1203167725
676	0.1202730815
677	0.1202321625
678	0.1201776377
679	0.1201364009
680	0.1201257706
681	0.1200841777
682	0.1200451152
683	0.1200257619
684	0.1199661764
685	0.1199180222
686	0.1198502604
687	0.119801712
688	0.119775823
689	0.1197176234
690	0.1196639252
691	0.119616216
692	0.1195784251
693	0.1195627594
694	0.1195049032
695	0.1194615173
696	0.1194014994
697	0.1193247223
698	0.1192934672
699	0.1192544047
700	0.1192085775
701	0.1191548284
702	0.1191089376
703	0.1190700658
704	0.1190523275
705	0.1189881643
706	0.1189530055
707	0.1189042409
708	0.1188537343
709	0.1188207118
710	0.1187402089
711	0.1186825689
712	0.1186241659
713	0.1186088308
714	0.118575592
715	0.1185404841
716	0.1184684626
717	0.118412056
718	0.118358078
719	0.1183203888
720	0.1182693481
721	0.1182385127
722	0.1182032776
723	0.1181527201
724	0.1180883789
725	0.1180366389
726	0.1180054728
727	0.1179843903
728	0.1179549281
729	0.1179396057
730	0.117903595
731	0.1178463491
732	0.1177670161
733	0.1177203623
734	0.1176560974
735	0.1176119741
736	0.1175585175
737	0.1175047684
738	0.1174442673
739	0.1174353282
740	0.1173857625
741	0.1173710632
742	0.1173209763
743	0.1172705841
744	0.1172187805
745	0.1171717072
746	0.1171465556
747	0.1170992661
748	0.1170551046
749	0.1170263672
750	0.1169769923
751	0.1169289907
752	0.1169021479
753	0.1168551509
754	0.1168103282
755	0.1167675781
756	0.1167300415
757	0.1167129135
758	0.1166738129
759	0.1166262945
760	0.1165716171
761	0.116532987
762	0.1164890416
763	0.1164498901
764	0.1163891347
765	0.116301206
766	0.1162510681
767	0.1161936315
768	0.1161192576
769	0.1160870107
770	0.1160320918
771	0.115980835
772	0.115951004
773	0.1159082286
774	0.1158712769
775	0.115842603
776	0.115807368
777	0.1157364019
778	0.1156939443
779	0.1156333923
780	0.1155926259
781	0.1155714035
782	0.1155362956
783	0.1154839579
784	0.1154502233
785	0.1154177602
786	0.115375913
787	0.1153295135
788	0.115289917
789	0.1152582423
790	0.1152164968
791	0.1151685588
792	0.1150867716
793	0.1150434875
794	0.1150258509
795	0.1149835205
796	0.1149324036
797	0.1149044291
798	0.1148472595
799	0.1148162206
800	0.1147613017
801	0.1147145589
802	0.1146540578
803	0.1145966339
804	0.1145391846
805	0.1144898224
806	0.1144638824
807	0.1144547399
808	0.1144184748
809	0.1143670527
810	0.1142842356
811	0.1142286301
812	0.1141953023
813	0.1141655477
814	0.1140873718
815	0.1140371577
816	0.1139744695
817	0.1139264297
818	0.1138865153
819	0.113835907
820	0.1137906011
821	0.1137482452
822	0.1137111155
823	0.1136386108
824	0.113572642
825	0.1135189184
826	0.1134855652
827	0.1134288534
828	0.1133610789
829	0.1133073425
830	0.1132482656
831	0.1132129033
832	0.1131713359
833	0.1131260173
834	0.1130527369
835	0.1130118688
836	0.112973086
837	0.1129175568
838	0.1128779856
839	0.1128317769
840	0.1127925618
841	0.112762146
842	0.1127201589
843	0.1126667786
844	0.1126115163
845	0.1125590388
846	0.1125192515
847	0.1124914042
848	0.1124565379
849	0.1124230448
850	0.1123942057
851	0.1123386383
852	0.1122897847
853	0.1122494125
854	0.1122095744
855	0.1121603902
856	0.1121142324
857	0.1120642726
858	0.1120116933
859	0.1119617844
860	0.1119444911
861	0.1118834432
862	0.1118334707
863	0.1117636363
864	0.1116947428
865	0.1116583252
866	0.1116109212
867	0.1115592957
868	0.11151474
869	0.1114665731
870	0.1114314524
871	0.1113978195
872	0.1113496908
873	0.1113080597
874	0.1112769318
875	0.1112486903
876	0.1111831156
877	0.1111237208
878	0.1110845184
879	0.1110486094
880	0.1110190837
881	0.110981013
882	0.1109460195
883	0.1109031423
884	0.1108897527
885	0.1108456802
886	0.1107982381
887	0.1107537715
888	0.110723292
889	0.1106902822
890	0.1106402969
891	0.1105921427
892	0.1105179214
893	0.1104697418
894	0.1104394531
895	0.1103852081
896	0.1103244019
897	0.1102727509
898	0.1102152761
899	0.1101742427
900	0.1101226807
901	0.110078125
902	0.1100331116
903	0.109993248
904	0.1099617386
905	0.109933904
906	0.1098958333
907	0.1098500951
908	0.1098070017
909	0.1097813924
910	0.1097451274
911	0.1097021612
912	0.1096737671
913	0.1096309408
914	0.1095880636
915	0.1095306396
916	0.1094809214
917	0.1094720205
918	0.1094430542
919	0.1093938955
920	0.1093647257
921	0.1093375015
922	0.1093026225
923	0.1092756399
924	0.1092667135
925	0.1092190425
926	0.1091675059
927	0.109159406
928	0.109123052
929	0.1090845362
930	0.1090328089
931	0.1090066783
932	0.1089747747
933	0.1089246114
934	0.1088796107
935	0.108837026
936	0.1087798691
937	0.1087399292
938	0.1087101364
939	0.1086610921
940	0.1086068598
941	0.1085983531
942	0.1085603968
943	0.1085367966
944	0.1085028585
945	0.1084553401
946	0.1084302521
947	0.1083852895
948	0.1083552551
949	0.1083238729
950	0.1083026886
951	0.1082788976
952	0.1082458496
953	0.1082379659
954	0.1082280858
955	0.1081845093
956	0.1081378555
957	0.1080897268
958	0.1080237071
959	0.1079836909
960	0.1079498037
961	0.1078895569
962	0.1078571192
963	0.1078491974
964	0.1078204854
965	0.1078129832
966	0.1077625275
967	0.1077180608
968	0.1077033234
969	0.1076496887
970	0.1076179759
971	0.1075636292
972	0.1075098928
973	0.1074699783
974	0.1074529012
975	0.1073723602
976	0.1073566055
977	0.1073003642
978	0.1072881953
979	0.1072584152
980	0.1071966934
981	0.107129186
982	0.1070828247
983	0.1070418549
984	0.1069942347
985	0.1069686381
986	0.1069209544
987	0.1069076538
988	0.1068546041
989	0.1067908859
990	0.1067475382
991	0.1066977946
992	0.1066299248
993	0.1066004117
994	0.1065725136
995	0.1065224838
996	0.1064654605
997	0.1064296023
998	0.1064005343
999	0.1063785934
